u,g,r,i,z,class,z1,zerr
18.57839,17.4583,16.99716,16.69347,16.51039,GALAXY,0.05041974,6.249194E-06
19.25764,17.71689,17.03234,16.61444,16.33746,GALAXY,0.08067959,1.161816E-05
16.32824,14.65807,13.86779,13.44807,13.10794,GALAXY,0.03143515,1.150445E-05
19.0923,18.65019,18.78019,18.60847,18.63935,QSO,0.5781611,5.65784E-05
18.11641,16.70791,16.25208,16.05076,15.90821,GALAXY,0.02883748,7.691977E-06
19.32985,17.38354,16.45853,16.05504,15.72379,GALAXY,0.08890785,1.948598E-05
18.31456,16.83402,16.04699,15.63616,15.33502,GALAXY,0.08218353,1.420171E-05
18.8399,16.96693,16.08136,15.65991,15.32432,GALAXY,0.05826612,1.663931E-05
18.99995,17.87894,17.41027,17.11567,16.95613,GALAXY,0.03360999,5.612359E-06
18.23075,18.00309,17.76361,17.56639,17.57515,GALAXY,0,0
19.55276,18.22412,17.48627,17.05369,16.73448,GALAXY,0.1335996,9.063327E-06
19.15287,17.49986,16.67616,16.24568,15.93223,GALAXY,0.04990968,1.233287E-05
19.59859,19.5559,19.28165,19.1428,19.11109,QSO,1.430289,0.0004044384
18.91113,17.06952,16.14725,15.71364,15.34429,GALAXY,0.06216448,1.038341E-05
18.1636,16.68145,15.92868,15.52204,15.21268,GALAXY,0.04395078,6.493876E-06
18.47913,18.34657,18.30102,18.32426,17.84262,QSO,0.3655042,4.698441E-05
18.88036,17.87864,17.29779,16.91348,16.74282,GALAXY,0.1354562,8.022897E-06
18.5309,16.59703,15.68477,15.2443,14.88541,GALAXY,0.05841363,1.181177E-05
19.52501,19.13675,18.98981,18.92743,18.50482,QSO,0.396527,7.306741E-05
19.26989,17.42449,16.52331,16.10965,15.77061,GALAXY,0.07943423,2.090053E-05
18.84004,17.19868,16.41007,16.00072,15.70059,GALAXY,0.03001823,1.592244E-05
19.21977,18.12416,17.73578,17.49797,17.34069,GALAXY,0.05812947,5.502845E-06
19.48766,17.58667,16.26419,15.75072,15.36806,GALAXY,0.1780025,2.200537E-05
19.44218,19.15771,18.67875,18.60043,18.59891,QSO,1.326471,0.0003143879
18.8445,16.87731,15.91288,15.43145,15.10217,GALAXY,0.08900082,1.929545E-05
19.04386,18.89172,18.75062,18.36773,18.37845,QSO,1.834272,0.0003689249
18.75805,17.33532,16.66092,16.19368,15.93707,QSO,0.06398267,3.618946E-05
19.3636,17.4591,16.33274,15.85404,15.46227,GALAXY,0.1165295,3.780785E-05
18.81132,17.63775,17.03181,16.60396,16.358,GALAXY,0.05235712,7.385634E-06
19.33883,17.80583,17.01326,16.59489,16.261,GALAXY,0.0986613,2.050462E-05
17.30644,15.43272,14.53064,14.01106,13.63246,GALAXY,0.0372185,7.031763E-06
19.47611,17.6089,16.61027,16.05041,15.6327,GALAXY,0.1174917,3.258244E-05
18.83259,17.94355,17.64308,17.41248,17.40456,GALAXY,0.1299987,6.660947E-06
19.57113,17.78498,16.91531,16.50571,16.17825,GALAXY,0.09280872,1.692015E-05
19.57118,17.95683,17.17593,16.67397,16.4052,GALAXY,0.07245733,9.269811E-06
18.82329,17.6413,17.19423,16.90568,16.72177,GALAXY,0.04806345,8.569507E-06
17.95186,16.39555,15.64521,15.22687,14.93256,GALAXY,0.03157403,1.954159E-05
19.48318,18.22217,17.7042,17.36274,17.23194,GALAXY,0.08975511,8.919322E-06
18.12404,16.28704,15.44722,15.04648,14.72135,GALAXY,0.04501781,8.852242E-06
19.03778,17.14786,16.30684,15.90843,15.58754,GALAXY,0,0
18.46822,16.8795,16.04272,15.59274,15.20711,GALAXY,0.03269808,9.947071E-06
18.63511,17.11253,16.34124,15.86483,15.55646,GALAXY,0.062571,6.427232E-06
17.0822,15.91617,15.54094,15.3088,15.14727,GALAXY,0.03037499,6.673612E-06
18.23905,18.09096,17.8148,17.82005,17.8863,QSO,1.101861,0.0005230144
19.22605,17.73847,16.98281,16.61,16.33918,GALAXY,0.1479703,2.227285E-05
18.13262,16.65818,16.11194,15.77896,15.80297,GALAXY,0.03471503,1.474019E-05
19.34389,18.97487,18.8733,18.77976,18.75152,QSO,0.6742291,0.0001599496
18.96779,17.17331,16.24413,15.7566,15.37135,GALAXY,0.03185816,1.0018E-05
18.93923,17.53421,16.78974,16.39398,16.09739,GALAXY,0.09435751,1.06124E-05
18.09002,16.69347,16.04438,15.59721,15.36557,GALAXY,0.07436159,6.319113E-06
19.15916,19.00359,18.82154,18.78881,18.7982,QSO,1.262649,0.0005415009
18.92302,16.97694,16.03388,15.57086,15.2557,GALAXY,0.05473702,1.985883E-05
19.48829,17.83882,17.00019,16.59297,16.26206,GALAXY,0.1413863,1.572923E-05
18.57125,17.67464,17.4323,17.02211,17.26924,GALAXY,0.07472818,8.258592E-06
18.56436,16.64104,15.76874,15.33295,15.0189,GALAXY,0.03846418,9.171506E-06
18.45862,17.28991,16.6592,16.26112,16.03748,GALAXY,0.06189071,8.382015E-06
19.18224,18.74632,18.69244,18.6037,18.34086,QSO,0.7399988,0.0001153234
19.59032,17.55229,16.43167,15.95312,15.55572,GALAXY,0.1301788,2.087185E-05
18.25114,16.83991,16.24864,15.93053,15.68066,GALAXY,0.04498221,1.288409E-05
19.29158,17.87506,17.395,17.16818,17.10361,GALAXY,0.03624193,2.62399E-05
19.57572,18.88437,18.86803,18.83708,18.52257,QSO,2.532166,9.255261E-05
19.11214,17.15231,16.25429,15.84566,15.52485,GALAXY,0.0639763,1.608109E-05
18.38844,17.41722,17.09141,16.97144,16.93885,QSO,5.336546,0.001109097
18.82278,18.71588,18.62815,18.25906,18.15562,QSO,2.006295,0.000249779
19.33841,18.11628,17.7778,17.50316,17.43329,GALAXY,0.08255953,4.935666E-06
19.2625,18.88108,18.78269,18.69007,18.56901,QSO,0.7390471,0.0003226392
17.2694,16.55706,16.39899,16.25918,16.15725,GALAXY,0.03144228,6.341328E-06
18.9794,17.86616,17.32207,16.97327,16.80672,GALAXY,0.06135502,1.115518E-05
18.4959,17.16862,16.39557,15.96491,15.66024,GALAXY,0.1142121,8.183385E-06
15.69264,13.72197,12.72062,12.2395,11.88526,GALAXY,0.01854437,7.674814E-06
18.42822,18.26098,18.04605,18.01235,18.035,QSO,1.249359,0.0003159712
18.72843,18.32264,18.22783,17.97562,17.62818,QSO,0.4146694,3.364689E-05
19.04648,17.9216,17.50341,17.37363,17.6145,GALAXY,0.034948,1.170869E-05
19.24494,18.01362,17.38497,17.01297,16.79645,GALAXY,0.113306,9.423721E-06
18.06651,16.93676,16.53194,16.39584,16.18977,GALAXY,0.03036248,1.123265E-05
19.29541,18.12714,17.64974,17.43445,17.28799,GALAXY,0.03429162,2.737608E-05
17.64615,16.47264,15.94853,15.65367,15.42205,GALAXY,0.04546062,1.012625E-05
19.19816,17.61535,17.21662,16.89416,16.70778,GALAXY,0.05241016,6.731199E-06
19.58904,18.1913,17.57886,17.35824,17.22412,GALAXY,0,0
19.48149,18.11705,17.40277,16.9852,16.70838,GALAXY,0.08046474,9.562453E-06
19.26926,17.84663,17.23589,16.88711,16.61714,GALAXY,0.09446499,1.757197E-05
18.8092,17.36361,16.56024,16.12336,15.82915,GALAXY,0.0913936,2.073956E-05
17.5264,17.19977,16.70448,16.2802,16.10445,QSO,0.1344889,3.250196E-05
18.26813,18.3876,18.69996,18.96914,19.33944,QSO,2.543235,-1
19.47155,17.89826,17.44985,17.07527,16.86362,GALAXY,0.0583014,5.933609E-06
19.35752,19.23137,19.18118,18.8155,18.85644,QSO,1.864772,0.0005363338
17.61246,16.28122,15.75398,15.44004,15.241,GALAXY,0.0421405,6.595336E-06
19.01616,17.15981,16.25115,15.83955,15.50461,GALAXY,0.07238448,1.430916E-05
19.05543,17.74484,17.08921,16.69611,16.38015,GALAXY,0.05284701,1.10781E-05
17.95032,16.55394,15.78342,15.33585,14.99424,GALAXY,0.05777124,6.783024E-06
19.49513,17.42631,16.41129,15.92801,15.5507,GALAXY,0.07455945,1.34937E-05
19.12722,17.68286,17.04058,16.62488,16.35573,GALAXY,0.07500648,7.353691E-06
19.21167,17.40842,16.50069,16.06021,15.73656,GALAXY,0.07268912,2.700966E-05
19.00437,17.48171,17.15396,16.98181,17.01396,GALAXY,0.03477112,9.518676E-06
18.76273,17.30113,16.65504,16.32469,16.11544,GALAXY,0.05275809,1.785967E-05
17.96041,17.88257,17.85259,16.42543,16.1826,GALAXY,0.03435162,6.465873E-06
19.1638,17.59307,17.43932,16.63048,16.42004,GALAXY,0.04070625,2.100437E-05
19.55138,17.58013,16.63955,16.18323,15.81389,GALAXY,0.05707893,2.252781E-05
18.66345,18.5714,18.32394,18.27188,18.29453,QSO,1.129216,0.00039396
19.04245,17.18829,16.15147,15.62342,15.21579,GALAXY,0.09474949,2.197833E-05
19.55289,18.17181,17.61462,17.23604,16.99156,GALAXY,0.05008214,7.65552E-06
18.67934,17.80418,17.5076,17.29779,17.17486,GALAXY,0.03179942,5.986019E-06
19.55641,18.40541,17.83385,17.54644,17.35781,GALAXY,0.08174226,1.76514E-05
19.51572,19.36106,19.0928,19.1067,19.15306,QSO,1.116708,0.0004256974
18.26948,16.98872,16.36123,16.01164,15.7623,GALAXY,0.05847102,1.262286E-05
18.0445,16.58355,15.88465,15.47144,15.14668,GALAXY,0.03605647,8.639377E-06
19.37864,17.79152,16.93576,16.51115,16.19591,GALAXY,0.0947958,1.953017E-05
19.20034,17.26615,16.2917,15.86027,15.51224,GALAXY,0.1069581,2.178825E-05
19.04629,18.51917,18.22697,18.05431,17.25784,QSO,0.3716481,3.86135E-05
19.50289,19.34986,19.29828,18.93044,18.91806,QSO,1.770578,0.0002178303
18.9364,17.9991,17.47994,17.10966,16.90286,GALAXY,0.09480091,8.53655E-06
18.92466,16.96773,16.02541,15.6053,15.25694,GALAXY,0.07710508,1.546586E-05
18.83848,17.40714,16.66242,16.26283,15.99484,GALAXY,0.1015946,1.193311E-05
19.4159,18.13977,17.36889,16.826,16.51881,GALAXY,0.106013,8.443457E-06
17.24607,16.01618,15.41868,15.07492,14.79002,GALAXY,0.0320314,9.902174E-06
19.55399,18.08331,17.24867,16.81545,16.47081,GALAXY,0.1315776,1.749177E-05
19.58802,17.79516,16.77943,16.2985,15.94636,GALAXY,0.1167837,2.197949E-05
17.58975,15.52064,14.56189,14.09114,13.71459,GALAXY,0.06342497,9.745283E-06
18.84823,17.60518,17.17476,16.86452,16.66229,GALAXY,0.05778083,7.315029E-06
19.40678,17.72756,16.82912,16.38923,16.07355,GALAXY,0.09795351,1.859779E-05
18.59714,17.0215,16.2652,15.85316,15.52334,GALAXY,0.03512093,1.629536E-05
19.21382,17.96396,17.43393,17.09493,16.90891,GALAXY,0.05396785,6.550385E-06
18.86396,18.69507,18.6186,18.32085,18.31903,QSO,1.675771,0.0003569149
18.98982,17.39429,16.6205,16.13461,15.78649,GALAXY,0.1008124,2.078797E-05
18.82766,17.67048,17.26342,17.04198,16.91809,GALAXY,0.04579799,6.052535E-06
18.85899,17.22447,16.48588,16.05271,15.72949,GALAXY,0.04159344,8.077793E-06
19.08434,17.78288,17.12879,16.76163,16.53914,GALAXY,0.1192744,1.550453E-05
19.23879,17.49932,16.53521,16.09223,15.76121,GALAXY,0.03969949,1.448246E-05
19.14627,18.85902,18.63394,18.45354,18.45074,QSO,1.959382,0.0006209821
19.59794,17.63893,16.63508,16.19881,15.83535,GALAXY,0.1029474,2.205619E-05
18.98787,17.70059,17.17929,16.82866,16.65283,GALAXY,0.0839655,9.408101E-06
18.30478,17.44778,17.32565,17.15453,17.07365,GALAXY,0.0346742,7.785494E-06
19.1437,18.94558,18.79699,18.53568,18.47823,QSO,1.598077,0.0002232031
19.42709,17.97441,17.26549,16.85144,16.55937,GALAXY,0.03424395,8.602444E-06
18.54426,17.59743,17.20582,16.97159,16.88753,GALAXY,0.04597939,1.122254E-05
18.90697,18.85839,18.76493,18.55577,18.55444,QSO,1.478113,0.0005453132
19.54483,17.32712,16.10213,15.60439,15.21372,GALAXY,0.1502571,2.569697E-05
18.66375,16.71732,15.77974,15.31612,14.94658,GALAXY,0.04098138,1.148616E-05
18.99798,17.95453,17.48927,17.17787,17.00494,GALAXY,0.08968825,8.523275E-06
19.52347,18.10513,17.28467,16.82169,16.5584,GALAXY,0.1317753,1.488188E-05
18.22739,16.83303,16.17382,15.78839,15.53632,GALAXY,0.06348825,1.157542E-05
18.54802,17.45053,16.98511,16.71634,16.53301,GALAXY,0.03307033,8.187658E-06
19.2896,17.59756,16.79195,16.42265,16.13314,GALAXY,0.07361815,1.348046E-05
18.63116,17.41788,17.00399,16.694,16.55578,GALAXY,0.08861636,8.037886E-06
18.04681,16.76347,16.18209,15.84318,15.59824,GALAXY,0.04538641,1.11106E-05
19.41753,18.20576,17.70273,17.40991,17.16617,GALAXY,0.03612819,9.930336E-06
18.40805,16.7726,16.08545,15.73374,15.44856,GALAXY,0.03201291,1.17221E-05
18.97113,17.2305,16.38301,15.92105,15.55939,GALAXY,0.09279273,1.542878E-05
18.47735,18.08603,17.71636,17.33773,17.37365,QSO,0.1805193,2.208951E-05
19.35289,17.35897,16.39496,15.93809,15.59861,GALAXY,0.07808495,2.062128E-05
17.50333,15.43928,14.48298,13.98657,13.58024,GALAXY,0.03668849,1.204912E-05
19.02896,17.07259,16.19173,15.77376,15.42145,GALAXY,0.04749214,1.147835E-05
17.38646,17.09103,17.22475,17.15709,17.2198,QSO,0.5394279,3.971342E-05
18.43978,17.53956,17.25797,17.0564,17.00624,GALAXY,0.03675208,5.819514E-06
19.30429,18.26761,17.67305,17.1746,16.99421,GALAXY,0.132622,8.115914E-06
19.01233,17.93488,17.47575,17.17236,17.05003,GALAXY,0.03421315,6.999564E-06
17.32073,15.67007,14.92919,14.51617,14.20115,GALAXY,0.04614124,1.027558E-05
19.24713,17.96747,17.07963,16.58752,16.29343,GALAXY,0.1865456,1.125202E-05
19.18002,18.10326,17.76764,17.47089,17.34949,GALAXY,0.04784726,5.97599E-06
18.8552,17.69841,17.25339,17.0292,16.8434,GALAXY,0.02840798,6.595711E-06
17.65551,15.75023,14.84316,14.395,14.05697,GALAXY,0.03727926,1.155503E-05
19.53742,19.05117,18.86736,18.55179,18.63987,QSO,1.586599,0.0002562189
17.20863,15.26498,14.37832,13.88827,13.57455,GALAXY,0.03433024,9.081888E-06
18.30126,17.38033,17.05684,16.82027,16.68936,GALAXY,0.0468094,6.602724E-06
19.47201,17.95471,17.25782,16.89134,16.62485,GALAXY,0.03274157,9.581036E-06
18.85275,17.62617,17.13841,16.90138,16.74101,GALAXY,0.01390904,6.887137E-06
19.47915,18.3395,17.8513,17.51893,17.34921,GALAXY,0.06851754,6.886928E-06
19.0766,17.56981,16.72623,16.28559,15.96391,GALAXY,0.1129748,1.900139E-05
19.26077,17.8846,17.3313,17.04627,16.81773,GALAXY,0.04518209,2.00765E-05
18.72501,17.44591,16.82934,16.45172,16.16091,GALAXY,0.03741569,7.404463E-06
19.01901,17.62795,16.82659,16.38525,16.09519,GALAXY,0.0894393,1.090835E-05
19.13909,17.93497,17.36921,16.97629,16.79226,GALAXY,0.1299749,6.202558E-06
18.30852,16.6409,15.74156,15.24303,14.86729,GALAXY,0.07126064,1.458025E-05
19.35004,17.8323,16.93556,16.46282,16.10226,GALAXY,0.1340666,2.92508E-05
18.27131,16.97551,16.26336,15.82172,15.56833,GALAXY,0.05082527,6.478731E-06
19.57753,17.66055,16.77083,16.29737,15.95606,GALAXY,0.1031212,1.959905E-05
18.83707,16.91949,16.07887,15.67744,15.35721,GALAXY,0.03546103,7.007583E-06
18.5348,17.56994,17.3433,17.21309,17.06307,GALAXY,0.01517324,1.619413E-05
19.30349,17.88946,17.32022,17.42753,18.27134,GALAXY,0.01414427,2.166268E-05
18.88509,17.16772,16.35738,15.94799,15.65419,GALAXY,0.05527233,1.574311E-05
19.12387,18.08675,17.60133,17.28255,17.20191,GALAXY,0.08779483,6.204364E-06
19.5049,17.9743,17.3576,16.98329,16.81936,GALAXY,0.09890808,1.028436E-05
19.29044,18.00508,17.38707,17.0031,16.80158,GALAXY,0.06710842,1.04376E-05
19.01392,18.2202,17.93806,17.57711,17.5567,GALAXY,0.09300058,8.142352E-06
18.65107,17.32587,16.59889,16.18035,15.88299,GALAXY,0.07374202,7.329821E-06
18.37341,17.26241,16.89564,16.65598,16.40714,GALAXY,0.03361941,5.720022E-06
18.82771,18.60549,18.47034,18.31683,18.37086,QSO,1.447,0.0003096188
19.19419,17.44278,16.64242,16.24782,15.95334,GALAXY,0.04493869,1.924935E-05
18.73461,17.46717,16.67685,16.22361,15.91015,GALAXY,0.1324092,1.271703E-05
16.6287,14.79341,13.98957,13.57315,13.1955,GALAXY,0.03030854,1.204231E-05
17.56118,16.19283,15.60019,15.29806,15.0979,GALAXY,0.03248969,1.486581E-05
19.37542,18.20993,17.71225,17.40417,17.14012,GALAXY,0.0682273,1.095622E-05
19.36854,18.04613,17.05015,16.56578,16.22162,GALAXY,0.2023918,3.412505E-05
18.60234,17.62506,17.33483,17.12964,17.00381,GALAXY,0.03515274,7.248046E-06
18.9403,18.62318,18.40673,18.19707,18.31254,QSO,1.463078,0.0005258424
19.03526,18.16622,17.8286,17.50001,17.4291,GALAXY,0.0759828,7.381614E-06
19.56182,17.95844,17.43744,17.14611,16.89368,GALAXY,0.03999858,7.085703E-06
19.50808,18.05222,17.0785,16.61291,16.25886,GALAXY,0.1372127,1.632011E-05
18.6985,16.88322,16.04955,15.63701,15.372,GALAXY,0.03539021,1.531601E-05
18.62591,17.29356,16.75719,16.42123,16.19473,GALAXY,0.05495348,8.53167E-06
18.3157,16.57458,15.75096,15.35647,15.06317,GALAXY,0.03591514,8.248506E-06
19.42175,18.1083,17.1466,16.60248,16.25426,GALAXY,0.1503115,2.101798E-05
18.62855,17.8616,17.82949,17.73238,17.6877,GALAXY,0.03740431,4.278247E-06
17.18544,15.74868,14.96687,14.53856,14.23375,GALAXY,0.07999791,1.749525E-05
19.41538,18.29522,17.79544,17.45923,17.32674,GALAXY,0.1117939,9.996075E-06
18.66223,17.44131,17.08844,16.84089,16.79258,GALAXY,0.03531314,6.245315E-06
17.3263,15.45529,14.59816,14.13476,13.77914,GALAXY,0.0359561,1.174179E-05
19.1473,17.84811,17.36838,17.05401,16.8755,GALAXY,0.0462787,6.172184E-06
17.79845,16.08931,15.28452,14.8879,14.57003,GALAXY,0.03838292,1.457034E-05
19.40331,18.21209,17.63813,17.21235,17.00459,GALAXY,0.08897925,5.800851E-06
16.24861,14.928,14.27062,13.8828,13.61786,GALAXY,0.03700787,8.145989E-06
19.36796,17.48077,16.58913,16.18399,15.86924,GALAXY,0.07727278,1.694611E-05
18.9527,18.68039,18.87546,19.08645,19.31196,GALAXY,0,0
19.13031,17.63679,17.08183,16.77546,16.48963,GALAXY,0.04075325,8.474451E-06
19.37418,18.25751,17.70327,17.36132,17.21177,GALAXY,0.08014359,8.063211E-06
18.8322,18.2952,18.31887,18.26121,18.06105,QSO,2.42593,0.0001134918
17.2113,16.45356,15.84462,15.39911,15.18101,QSO,0.05942016,1.576958E-05
19.21422,17.81344,17.14055,16.7198,16.4088,GALAXY,0.06332192,7.944322E-06
19.09817,17.94183,17.56693,17.36551,17.09357,GALAXY,0.04123447,6.163687E-06
19.19854,17.95615,17.52316,17.25709,17.24703,GALAXY,0.0853565,8.737018E-06
17.05093,15.65229,14.9558,14.60966,14.29318,GALAXY,0.04721719,8.195945E-06
19.56412,17.52605,16.48072,16.01086,15.60828,GALAXY,0.1086068,1.895223E-05
18.77023,16.99231,16.03548,15.59109,15.24323,GALAXY,0.1103634,1.773904E-05
18.15201,16.98915,16.46346,16.19766,16.0286,GALAXY,0.04101426,1.698283E-05
19.09918,18.03386,17.53062,17.23524,17.1039,GALAXY,0.1079749,7.892425E-06
18.72143,17.26997,16.50098,16.0991,15.80802,GALAXY,0.1121416,2.21447E-05
18.70694,17.21195,16.70809,16.37623,16.14126,GALAXY,0.04112869,5.774315E-06
18.65512,17.43226,16.86876,16.48777,16.2754,GALAXY,0.05859502,6.633882E-06
16.45153,15.23012,14.65901,14.33168,14.0719,GALAXY,0.03100853,7.689176E-06
18.66577,17.19593,16.48579,16.06342,15.81503,GALAXY,0.1044006,6.288951E-06
17.26822,15.59616,14.74719,14.28111,13.77395,GALAXY,0.03232915,1.75161E-05
17.18277,16.12908,15.78139,15.538,15.40505,GALAXY,0.03902011,6.669504E-06
19.15045,17.79599,17.22913,16.93449,16.70882,GALAXY,0.06331304,1.394393E-05
18.85312,18.77049,18.75047,18.61062,18.59618,QSO,1.904687,0.0005138427
18.97689,17.03684,16.18067,15.79329,15.45297,GALAXY,0.04461228,9.429755E-06
19.24333,17.8562,16.88298,16.4135,16.10249,GALAXY,0.1547268,2.952082E-05
18.95235,17.15679,16.38289,15.98913,15.67665,GALAXY,0.04291661,1.226639E-05
17.43229,15.64289,14.81777,14.31317,14.02094,GALAXY,0.06360019,1.785324E-05
19.48739,17.85752,17.03187,16.57259,16.26443,GALAXY,0.06380007,2.257493E-05
19.48861,17.92559,17.01491,16.57677,16.18237,GALAXY,0.1023391,2.777561E-05
17.4286,16.21987,15.68149,15.38885,15.20055,GALAXY,0.04347121,9.173209E-06
19.48869,17.61676,16.74541,16.31661,15.98213,GALAXY,0.07080603,1.841145E-05
18.59558,17.41627,16.7395,16.3518,16.14023,GALAXY,0.1519451,9.367288E-06
19.13872,17.23695,16.19091,15.74747,15.38746,GALAXY,0.1020038,1.801237E-05
18.02349,16.1834,15.22497,14.76106,14.3864,GALAXY,0.06444681,1.542378E-05
